	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	mu[82]	4.978	0.3638	0.003102	4.302	4.966	5.726	30000	20001
	mu[83]	4.967	0.361	0.003071	4.289	4.954	5.706	30000	20001
	mu[84]	4.932	0.3619	0.003107	4.259	4.921	5.684	30000	20001
	mu[85]	4.878	0.3542	0.002847	4.219	4.865	5.608	30000	20001
	mu[86]	4.793	0.3083	0.002392	4.213	4.783	5.428	30000	20001
	mu[87]	4.561	0.2921	0.002169	4.018	4.551	5.161	30000	20001
	mu[88]	4.366	0.2833	0.002131	3.842	4.357	4.951	30000	20001
	mu[89]	4.21	0.3064	0.00231	3.646	4.197	4.84	30000	20001
	mu[90]	3.978	0.2909	0.002489	3.434	3.968	4.58	30000	20001
	mu[91]	3.713	0.2696	0.002247	3.211	3.701	4.265	30000	20001
	mu[92]	3.433	0.2192	0.001743	3.024	3.428	3.881	30000	20001
	mu[93]	2.898	0.1846	0.001417	2.552	2.891	3.278	30000	20001
	mu[94]	2.693	0.1688	0.001405	2.377	2.689	3.039	30000	20001
	mu[95]	1.0	0.06418	5.804E-4	0.8786	0.9982	1.13	30000	20001
	mu[96]	1.002	0.06573	5.848E-4	0.8782	0.9996	1.136	30000	20001
	mu[97]	0.9969	0.0645	6.171E-4	0.8772	0.995	1.13	30000	20001
	mu[98]	1.005	0.05974	5.759E-4	0.8932	1.004	1.128	30000	20001
	mu[99]	1.007	0.06029	5.73E-4	0.8945	1.005	1.129	30000	20001
	mu[100]	1.007	0.05995	5.667E-4	0.896	1.006	1.131	30000	20001
	mu[101]	1.004	0.082	7.863E-4	0.8502	1.001	1.174	30000	20001
