	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	sd[89]	499.2	287.7	2.119	26.14	498.0	974.2	30000	20001
	sd[90]	495.6	288.7	1.858	24.97	494.7	973.5	30000	20001
	sd[91]	497.9	289.8	2.018	24.31	495.6	974.3	30000	20001
	sd[92]	501.0	288.5	2.133	25.22	501.6	976.2	30000	20001
	sd[93]	499.2	289.0	1.908	25.1	498.9	973.5	30000	20001
	sd[94]	500.2	288.1	2.288	25.48	501.9	974.6	30000	20001
	sd[95]	496.2	290.5	1.98	25.51	494.7	974.6	30000	20001
	sd[96]	498.2	289.9	1.996	25.39	499.5	976.4	30000	20001
	sd[97]	499.3	287.5	1.82	25.41	498.2	976.5	30000	20001
	sd[98]	500.3	288.4	1.763	26.7	498.9	975.0	30000	20001
	sd[99]	498.5	287.3	2.306	25.54	494.9	975.3	30000	20001
	sd[100]	499.3	289.8	2.07	24.59	495.9	975.7	30000	20001
	sd[101]	500.6	289.4	2.18	24.23	501.5	974.2	30000	20001
