mu[1]	1	20001
mu[2]	20002	40002
mu[3]	40003	60003
mu[4]	60004	80004
mu[5]	80005	100005
mu[6]	100006	120006
mu[7]	120007	140007
mu[8]	140008	160008
mu[9]	160009	180009
mu[10]	180010	200010
mu[11]	200011	220011
mu[12]	220012	240012
mu[13]	240013	260013
mu[14]	260014	280014
mu[15]	280015	300015
mu[16]	300016	320016
mu[17]	320017	340017
mu[18]	340018	360018
mu[19]	360019	380019
mu[20]	380020	400020
mu[21]	400021	420021
mu[22]	420022	440022
mu[23]	440023	460023
mu[24]	460024	480024
mu[25]	480025	500025
mu[26]	500026	520026
mu[27]	520027	540027
mu[28]	540028	560028
mu[29]	560029	580029
mu[30]	580030	600030
mu[31]	600031	620031
mu[32]	620032	640032
mu[33]	640033	660033
mu[34]	660034	680034
mu[35]	680035	700035
mu[36]	700036	720036
mu[37]	720037	740037
mu[38]	740038	760038
mu[39]	760039	780039
mu[40]	780040	800040
mu[41]	800041	820041
mu[42]	820042	840042
mu[43]	840043	860043
mu[44]	860044	880044
mu[45]	880045	900045
mu[46]	900046	920046
mu[47]	920047	940047
mu[48]	940048	960048
mu[49]	960049	980049
mu[50]	980050	1000050
mu[51]	1000051	1020051
mu[52]	1020052	1040052
mu[53]	1040053	1060053
mu[54]	1060054	1080054
mu[55]	1080055	1100055
mu[56]	1100056	1120056
mu[57]	1120057	1140057
mu[58]	1140058	1160058
mu[59]	1160059	1180059
mu[60]	1180060	1200060
mu[61]	1200061	1220061
mu[62]	1220062	1240062
mu[63]	1240063	1260063
mu[64]	1260064	1280064
mu[65]	1280065	1300065
mu[66]	1300066	1320066
mu[67]	1320067	1340067
mu[68]	1340068	1360068
mu[69]	1360069	1380069
mu[70]	1380070	1400070
mu[71]	1400071	1420071
mu[72]	1420072	1440072
mu[73]	1440073	1460073
mu[74]	1460074	1480074
mu[75]	1480075	1500075
mu[76]	1500076	1520076
mu[77]	1520077	1540077
mu[78]	1540078	1560078
mu[79]	1560079	1580079
mu[80]	1580080	1600080
mu[81]	1600081	1620081
mu[82]	1620082	1640082
mu[83]	1640083	1660083
mu[84]	1660084	1680084
mu[85]	1680085	1700085
mu[86]	1700086	1720086
mu[87]	1720087	1740087
mu[88]	1740088	1760088
mu[89]	1760089	1780089
mu[90]	1780090	1800090
mu[91]	1800091	1820091
mu[92]	1820092	1840092
mu[93]	1840093	1860093
mu[94]	1860094	1880094
mu[95]	1880095	1900095
mu[96]	1900096	1920096
mu[97]	1920097	1940097
mu[98]	1940098	1960098
mu[99]	1960099	1980099
mu[100]	1980100	2000100
mu[101]	2000101	2020101
